Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
0.110907,0.4972428,-2.441471,-0.190865,0.4383913,-2.481003,-0.1180626,0.1469245,-2.584394,0.02529179,-0.08311403,-2.640448
0.110907,0.4972428,-2.441471,-0.190865,0.4383913,-2.481003,-0.1180626,0.1469245,-2.584394,0.02607896,-0.0847363,-2.637996
0.110907,0.4972428,-2.441471,-0.190865,0.4383913,-2.481003,-0.1180626,0.1469245,-2.584394,0.02607896,-0.0847363,-2.637996
0.1041531,0.5039577,-2.426147,-0.1938561,0.4380289,-2.482403,-0.1233379,0.1435741,-2.591699,0.02607896,-0.0847363,-2.637996
0.1041531,0.5039577,-2.426147,-0.1938561,0.4380289,-2.482403,-0.1233379,0.1435741,-2.591699,0.02607896,-0.0847363,-2.637996
0.08802758,0.5138204,-2.423476,-0.2046047,0.4337473,-2.487087,-0.1343596,0.1399684,-2.602792,0.01889137,-0.0871062,-2.6423
0.08802758,0.5138204,-2.423476,-0.2046047,0.4337473,-2.487087,-0.1343596,0.1399684,-2.602792,0.01889137,-0.0871062,-2.6423
0.07713165,0.5385345,-2.419008,-0.206584,0.4330981,-2.490696,-0.1443484,0.1364036,-2.605725,0.01640056,-0.08611441,-2.641121
0.07713165,0.5385345,-2.419008,-0.206584,0.4330981,-2.490696,-0.1443484,0.1364036,-2.605725,0.01640056,-0.08611441,-2.641121
0.0647059,0.5647327,-2.416362,-0.2077727,0.4328935,-2.493732,-0.1470686,0.1374825,-2.605081,0.015629,-0.08372128,-2.640309
0.0647059,0.5647327,-2.416362,-0.2077727,0.4328935,-2.493732,-0.1470686,0.1374825,-2.605081,0.015629,-0.08372128,-2.640309
0.03069459,0.5938584,-2.392051,-0.2178433,0.4322447,-2.490505,-0.1528292,0.1469051,-2.600379,0.01771077,-0.06760429,-2.639103
0.03069459,0.5938584,-2.392051,-0.2178433,0.4322447,-2.490505,-0.1528292,0.1469051,-2.600379,0.01771077,-0.06760429,-2.639103
