Hand_R, , ,Elbow_R, , ,Body, , 
0.3174004,-0.4435391,-1.699421,0.1430307,-0.2522686,-1.865226,-0.1769788,-0.2340941,-1.896776
0.3174004,-0.4435391,-1.699421,0.1430307,-0.2522686,-1.865226,-0.1769788,-0.2340941,-1.896776
0.3174004,-0.4435391,-1.699421,0.1430307,-0.2522686,-1.865226,-0.1769788,-0.2340941,-1.896776
0.3174004,-0.4435391,-1.699421,0.1430307,-0.2522686,-1.865226,-0.1769788,-0.2340941,-1.896776
0.2182399,-0.4975424,-1.691473,0.1135282,-0.2667549,-1.875315,-0.1753988,-0.2360407,-1.895652
0.2182399,-0.4975424,-1.691473,0.1135282,-0.2667549,-1.875315,-0.1753988,-0.2360407,-1.895652
0.1622458,-0.5215549,-1.682801,0.09438372,-0.2766814,-1.881122,-0.1742241,-0.2366274,-1.894639
0.1622458,-0.5215549,-1.682801,0.09438372,-0.2766814,-1.881122,-0.1742241,-0.2366274,-1.894639
0.1622458,-0.5215549,-1.682801,0.09438372,-0.2766814,-1.881122,-0.1742241,-0.2366274,-1.894639
0.1622458,-0.5215549,-1.682801,0.09438372,-0.2766814,-1.881122,-0.1742241,-0.2366274,-1.894639
0.06875569,-0.5415225,-1.662457,0.06423439,-0.2911458,-1.866975,-0.1713032,-0.2351101,-1.892716
0.06875569,-0.5415225,-1.662457,0.06423439,-0.2911458,-1.866975,-0.1713032,-0.2351101,-1.892716
-0.0304081,-0.522251,-1.634989,0.04417319,-0.2967942,-1.859666,-0.1728584,-0.2340223,-1.8947
-0.0304081,-0.522251,-1.634989,0.04417319,-0.2967942,-1.859666,-0.1728584,-0.2340223,-1.8947
-0.0304081,-0.522251,-1.634989,0.04417319,-0.2967942,-1.859666,-0.1728584,-0.2340223,-1.8947
-0.0304081,-0.522251,-1.634989,0.04417319,-0.2967942,-1.859666,-0.1728584,-0.2340223,-1.8947
-0.08386055,-0.5045357,-1.60993,0.03239102,-0.3002028,-1.853284,-0.1735922,-0.2340044,-1.895398
-0.08386055,-0.5045357,-1.60993,0.03239102,-0.3002028,-1.853284,-0.1735922,-0.2340044,-1.895398
-0.1422267,-0.4438829,-1.591631,0.02314956,-0.2988991,-1.847864,-0.1727218,-0.2346066,-1.896651
-0.1422267,-0.4438829,-1.591631,0.02314956,-0.2988991,-1.847864,-0.1727218,-0.2346066,-1.896651
-0.1422267,-0.4438829,-1.591631,0.02314956,-0.2988991,-1.847864,-0.1727218,-0.2346066,-1.896651
