Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.2561563,-0.3357066,-2.362767,-0.2549054,-0.07126988,-2.459805,-0.1861228,0.2094425,-2.511899,-0.01158965,-0.006303599,-2.521583
-0.3395529,-0.3384057,-2.367424,-0.2816517,-0.08336437,-2.476055,-0.1858586,0.2019678,-2.51036,-0.01010884,-0.01271844,-2.521869
-0.3395529,-0.3384057,-2.367424,-0.2816517,-0.08336437,-2.476055,-0.1858586,0.2019678,-2.51036,-0.01010884,-0.01271844,-2.521869
-0.4181882,-0.3018197,-2.348274,-0.3185759,-0.07988699,-2.490576,-0.1826092,0.20496,-2.516989,-0.006073118,-0.009317646,-2.522717
-0.4181882,-0.3018197,-2.348274,-0.3185759,-0.07988699,-2.490576,-0.1826092,0.20496,-2.516989,-0.006073118,-0.009317646,-2.522717
-0.4768699,-0.2547289,-2.326388,-0.3480425,-0.05941311,-2.487028,-0.1793109,0.2123783,-2.526037,-0.003809437,-0.0027884,-2.52387
-0.4768699,-0.2547289,-2.326388,-0.3480425,-0.05941311,-2.487028,-0.1793109,0.2123783,-2.526037,-0.003809437,-0.0027884,-2.52387
-0.4768699,-0.2547289,-2.326388,-0.3480425,-0.05941311,-2.487028,-0.1793109,0.2123783,-2.526037,-0.003809437,-0.0027884,-2.52387
-0.4768699,-0.2547289,-2.326388,-0.3480425,-0.05941311,-2.487028,-0.1793109,0.2123783,-2.526037,-0.003809437,-0.0027884,-2.52387
-0.530908,-0.2015564,-2.316276,-0.376285,-0.02543358,-2.479182,-0.1785173,0.215983,-2.533118,-0.003553702,0.0005317178,-2.524327
-0.530908,-0.2015564,-2.316276,-0.376285,-0.02543358,-2.479182,-0.1785173,0.215983,-2.533118,-0.003553702,0.0005317178,-2.524327
-0.5765684,-0.1312059,-2.294359,-0.3986864,0.008202157,-2.472488,-0.1800432,0.2115121,-2.525856,-0.00400027,-0.003165997,-2.527169
-0.5765684,-0.1312059,-2.294359,-0.3986864,0.008202157,-2.472488,-0.1800432,0.2115121,-2.525856,-0.00400027,-0.003165997,-2.527169
-0.610457,-0.0539601,-2.259867,-0.4142905,0.04773162,-2.444476,-0.1793013,0.2107376,-2.528291,-0.003751753,-0.004427013,-2.528765
-0.610457,-0.0539601,-2.259867,-0.4142905,0.04773162,-2.444476,-0.1793013,0.2107376,-2.528291,-0.003751753,-0.004427013,-2.528765
-0.610457,-0.0539601,-2.259867,-0.4142905,0.04773162,-2.444476,-0.1793013,0.2107376,-2.528291,-0.003751753,-0.004427013,-2.528765
-0.610457,-0.0539601,-2.259867,-0.4142905,0.04773162,-2.444476,-0.1793013,0.2107376,-2.528291,-0.003751753,-0.004427013,-2.528765
-0.6497374,0.04245814,-2.229154,-0.4336453,0.08412191,-2.410964,-0.1798194,0.2089692,-2.529187,-0.003287253,-0.005415441,-2.529549
-0.6497374,0.04245814,-2.229154,-0.4336453,0.08412191,-2.410964,-0.1798194,0.2089692,-2.529187,-0.003287253,-0.005415441,-2.529549
-0.662322,0.1226782,-2.211035,-0.4400387,0.12237,-2.391051,-0.178054,0.2095516,-2.52541,-0.002004561,-0.005104753,-2.532089
-0.662322,0.1226782,-2.211035,-0.4400387,0.12237,-2.391051,-0.178054,0.2095516,-2.52541,-0.002004561,-0.005104753,-2.532089
-0.6651292,0.2103973,-2.191202,-0.4465298,0.162602,-2.366488,-0.1788928,0.2070052,-2.520815,-0.002835294,-0.007271021,-2.5349
-0.6651292,0.2103973,-2.191202,-0.4465298,0.162602,-2.366488,-0.1788928,0.2070052,-2.520815,-0.002835294,-0.007271021,-2.5349
-0.6651292,0.2103973,-2.191202,-0.4465298,0.162602,-2.366488,-0.1788928,0.2070052,-2.520815,-0.002835294,-0.007271021,-2.5349
-0.6651292,0.2103973,-2.191202,-0.4465298,0.162602,-2.366488,-0.1788928,0.2070052,-2.520815,-0.002835294,-0.007271021,-2.5349
