Hand_R, , ,Elbow_R, , ,Body, , 
-0.2430403,0.07964353,-1.614829,-0.01727535,-0.0174732,-1.752289,-0.08447091,-0.2548912,-2.058542
-0.2430403,0.07964353,-1.614829,-0.01727535,-0.0174732,-1.752289,-0.08447091,-0.2548912,-2.058542
-0.2430403,0.07964353,-1.614829,-0.01727535,-0.0174732,-1.752289,-0.08447091,-0.2548912,-2.058542
-0.2101997,0.1394451,-1.609701,-0.005057194,0.01310944,-1.752763,-0.08685254,-0.2472644,-2.059443
-0.2101997,0.1394451,-1.609701,-0.005057194,0.01310944,-1.752763,-0.08685254,-0.2472644,-2.059443
-0.2101997,0.1394451,-1.609701,-0.005057194,0.01310944,-1.752763,-0.08685254,-0.2472644,-2.059443
-0.2101997,0.1394451,-1.609701,-0.005057194,0.01310944,-1.752763,-0.08685254,-0.2472644,-2.059443
-0.1875604,0.1828386,-1.607347,0.003063,0.03356979,-1.752953,-0.08822852,-0.2393361,-2.061614
-0.1875604,0.1828386,-1.607347,0.003063,0.03356979,-1.752953,-0.08822852,-0.2393361,-2.061614
-0.1875604,0.1828386,-1.607347,0.003063,0.03356979,-1.752953,-0.08822852,-0.2393361,-2.061614
-0.1875604,0.1828386,-1.607347,0.003063,0.03356979,-1.752953,-0.08822852,-0.2393361,-2.061614
-0.1510946,0.2287542,-1.605503,0.02086259,0.05909236,-1.752286,-0.09495171,-0.2446477,-2.060318
-0.1510946,0.2287542,-1.605503,0.02086259,0.05909236,-1.752286,-0.09495171,-0.2446477,-2.060318
-0.1007481,0.2740027,-1.606591,0.04892385,0.08507476,-1.756304,-0.1004602,-0.2729946,-2.051851
-0.1007481,0.2740027,-1.606591,0.04892385,0.08507476,-1.756304,-0.1004602,-0.2729946,-2.051851
-0.1007481,0.2740027,-1.606591,0.04892385,0.08507476,-1.756304,-0.1004602,-0.2729946,-2.051851
-0.1007481,0.2740027,-1.606591,0.04892385,0.08507476,-1.756304,-0.1004602,-0.2729946,-2.051851
-0.06373832,0.3027422,-1.608108,0.06875018,0.0998024,-1.759716,-0.09711605,-0.267013,-2.050697
-0.06373832,0.3027422,-1.608108,0.06875018,0.0998024,-1.759716,-0.09711605,-0.267013,-2.050697
-0.01192778,0.331139,-1.615722,0.09059872,0.1109047,-1.762821,-0.09682112,-0.2612336,-2.055624
-0.01192778,0.331139,-1.615722,0.09059872,0.1109047,-1.762821,-0.09682112,-0.2612336,-2.055624
-0.01192778,0.331139,-1.615722,0.09059872,0.1109047,-1.762821,-0.09682112,-0.2612336,-2.055624
-0.01192778,0.331139,-1.615722,0.09059872,0.1109047,-1.762821,-0.09682112,-0.2612336,-2.055624
