Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
-0.2165695,0.3640849,-2.399649,0.06700689,0.4513892,-2.390714,0.1227537,0.183397,-2.539961,-0.01503972,-0.05357587,-2.577747
-0.2121254,0.3724789,-2.388731,0.07187444,0.4532144,-2.390774,0.1077244,0.1790621,-2.534577,-0.01633461,-0.06458043,-2.576672
-0.2121254,0.3724789,-2.388731,0.07187444,0.4532144,-2.390774,0.1077244,0.1790621,-2.534577,-0.01633461,-0.06458043,-2.576672
-0.2200492,0.3742765,-2.386206,0.06571332,0.4524102,-2.386675,0.1132487,0.1835347,-2.532254,-0.006594761,-0.06185481,-2.577388
-0.2200492,0.3742765,-2.386206,0.06571332,0.4524102,-2.386675,0.1132487,0.1835347,-2.532254,-0.006594761,-0.06185481,-2.577388
-0.2148926,0.3809269,-2.379286,0.07210065,0.4549213,-2.388931,0.1077577,0.1833215,-2.532821,-0.009779159,-0.06357797,-2.576008
-0.2148926,0.3809269,-2.379286,0.07210065,0.4549213,-2.388931,0.1077577,0.1833215,-2.532821,-0.009779159,-0.06357797,-2.576008
-0.2117562,0.3923844,-2.373739,0.0771081,0.4536389,-2.388337,0.1026084,0.179988,-2.53281,-0.01124177,-0.06872108,-2.575546
-0.2117562,0.3923844,-2.373739,0.0771081,0.4536389,-2.388337,0.1026084,0.179988,-2.53281,-0.01124177,-0.06872108,-2.575546
-0.2117562,0.3923844,-2.373739,0.0771081,0.4536389,-2.388337,0.1026084,0.179988,-2.53281,-0.01124177,-0.06872108,-2.575546
-0.2117562,0.3923844,-2.373739,0.0771081,0.4536389,-2.388337,0.1026084,0.179988,-2.53281,-0.01124177,-0.06872108,-2.575546
-0.2059001,0.4021307,-2.365007,0.08278554,0.4545509,-2.388669,0.132286,0.1847112,-2.545782,0.001201538,-0.05652897,-2.578547
-0.2059001,0.4021307,-2.365007,0.08278554,0.4545509,-2.388669,0.132286,0.1847112,-2.545782,0.001201538,-0.05652897,-2.578547
-0.2029821,0.4023497,-2.363225,0.08515321,0.4534188,-2.389071,0.1301985,0.1720554,-2.533564,-0.01432428,-0.06035196,-2.572794
-0.2029821,0.4023497,-2.363225,0.08515321,0.4534188,-2.389071,0.1301985,0.1720554,-2.533564,-0.01432428,-0.06035196,-2.572794
